1035;14.95833719;49.02499433
1036;15.0416617;49.02500395
1037;15.12499991;49.0249985
1038;15.20833768;49.02499578
1039;15.29166139;49.02499569
1040;15.3749984;49.02499848
1041;15.4583351;49.02500402
1142;14.95725784;48.97436436
1143;15.04058366;48.97436046
1144;15.12390913;48.97437698
1145;15.20722145;48.97437663
1146;15.29054739;48.97438055
1147;15.3738727;48.97437793
1148;15.4571987;48.97438593
1149;15.54051044;48.97438787
1249;14.95725697;48.92436665
1250;15.04058135;48.92437149
1251;15.12390567;48.92437812
1252;15.20723109;48.92437893
1253;15.29055474;48.92438247
1254;15.37387932;48.92437973
1255;15.45720377;48.92438844
1256;15.54051398;48.92439078
1257;15.62385131;48.92439522
1258;15.70717413;48.92439257
1356;14.95726826;48.87437749
1357;15.04059152;48.87438198
1358;15.12390164;48.87438894
1359;15.20722548;48.87438976
1360;15.29054811;48.87439366
1361;15.3738842;48.87439065
1362;15.45720755;48.87439978
1363;15.54053082;48.87439281
1364;15.6238533;48.87439727
1365;15.70718835;48.87440435
1366;15.79049513;48.87440473
1367;15.8738145;48.87439975
1368;15.95714755;48.87440682
1462;14.87394286;48.82437663
1463;14.95726497;48.82438746
1464;15.04058805;48.82438281
1465;15.12392388;48.82439035
1466;15.20724574;48.82439153
1467;15.29056703;48.82439512
1468;15.37387546;48.82439231
1469;15.45721126;48.82439197
1470;15.54053291;48.82440358
1471;15.62385365;48.82439917
1472;15.70717339;48.82440702
1473;15.7904922;48.82440766
1474;15.87382473;48.82441182
1475;15.95714291;48.82440963
1476;16.04046152;48.82441016
1481;16.4570819;48.82442688
1482;16.54038691;48.82442631
1483;16.62371959;48.82442785
1484;16.70833264;48.82499694
1569;14.87395361;48.77438585
1570;14.95727524;48.77438791
1571;15.04060994;48.77439251
1572;15.12391741;48.77439105
1573;15.20725148;48.77440164
1574;15.29057245;48.77440503
1575;15.3738789;48.7744021
1576;15.45721334;48.77440171
1577;15.54053278;48.774404
1578;15.62385335;48.77440935
1579;15.70717122;48.77440896
1580;15.79050275;48.77441922
1581;15.87383403;48.77442373
1582;15.95715171;48.77441233
1583;16.04046939;48.77442162
1584;16.1237862;48.77442547
1585;16.2071177;48.77442248
1586;16.29043553;48.77443118
1587;16.37375335;48.77442487
1588;16.45707036;48.77442989
1589;16.54040167;48.77443787
1590;16.62371978;48.77443931
1591;16.70703774;48.77443474
1592;16.79036921;48.77444144
1676;14.87394991;48.72438549
1677;14.95726989;48.72439704
1678;15.04060368;48.72439287
1679;15.12392364;48.72439147
1680;15.20724299;48.72440201
1681;15.29057689;48.72439653
1682;15.37388151;48.72440274
1683;15.45721437;48.72440314
1684;15.54053233;48.72440575
1685;15.62386416;48.72442196
1686;15.70718132;48.72441945
1687;15.79051298;48.72441273
1688;15.87383002;48.72442588
1689;15.95716013;48.72442387
1690;16.04047721;48.72443302
1691;16.12379222;48.72443653
1692;16.20710923;48.72443384
1693;16.29043996;48.72443356
1694;16.37377002;48.72443652
1695;16.45708624;48.72444134
1696;16.54040274;48.72443967
1697;16.62373318;48.72444159
1698;16.70705031;48.7244454
1699;16.79038117;48.72444313
1700;16.87369682;48.72445314
1701;16.95789475;48.72482071
1783;14.87395844;48.67439442
1784;14.95729099;48.67439708
1785;15.04060981;48.67440212
1786;15.12392845;48.67440073
1787;15.2072475;48.67441145
1788;15.2905798;48.67440604
1789;15.37389652;48.67441234
1790;15.45722846;48.67442186
1791;15.5405445;48.67442496
1792;15.6238618;48.67442145
1793;15.70717913;48.6744209
1794;15.79050864;48.67442308
1795;15.87382485;48.67442759
1796;15.95715395;48.67443437
1797;16.04048375;48.67443509
1798;16.12379842;48.67442918
1799;16.20711391;48.67443587
1800;16.2904438;48.67443579
1801;16.37375953;48.6744382
1802;16.45708859;48.67444346
1803;16.54041793;48.67444175
1804;16.62373381;48.67445219
1805;16.70704969;48.67444723
1806;16.79037904;48.67445417
1807;16.87369377;48.67445512
1808;16.95700951;48.67445856
1890;14.87396557;48.62440294
1891;14.95728384;48.62440546
1892;15.04060167;48.62441016
1893;15.12393289;48.62440957
1894;15.20725053;48.62441092
1895;15.29058146;48.62441577
1896;15.37389877;48.62441323
1897;15.45722834;48.62442262
1898;15.54054415;48.62442603
1899;15.62385946;48.62442245
1900;15.70718968;48.62442152
1901;15.79051839;48.62442398
1902;15.87383255;48.62443765
1903;15.95714794;48.62443544
1904;16.0404764;48.62443595
1905;16.12380411;48.62443965
1906;16.20713269;48.62444564
1907;16.29044742;48.62443703
1908;16.37376267;48.62443944
1909;16.45709094;48.62444469
1910;16.54040561;48.62445252
1911;16.62374763;48.62445332
1912;16.70706289;48.62445739
1913;16.79037773;48.62446478
1914;16.87370508;48.62446587
1915;16.95703361;48.62445951
1997;14.87397157;48.57440232
1998;14.9572889;48.57440477
1999;15.04060608;48.57440995
2000;15.12393587;48.57441798
2001;15.20725305;48.57441959
2002;15.29058307;48.57441498
2003;15.3738983;48.57443112
2004;15.45722738;48.57442295
2005;15.54054256;48.57442621
2006;15.62387031;48.57443183
2007;15.70719824;48.57443108
2008;15.79051315;48.57444227
2009;15.87384053;48.57443828
2010;15.95715524;48.5744454
2011;16.0404829;48.57444604
2012;16.12380991;48.57444997
2013;16.20712371;48.57444651
2014;16.29045109;48.57445508
2015;16.3737794;48.57444923
2016;16.45709333;48.57445447
2017;16.54042067;48.57446226
2018;16.62373488;48.57446391
2019;16.70706321;48.57445909
2020;16.79039089;48.57446591
2021;16.87370287;48.5744667
2022;16.95703126;48.57447917
2104;14.87397622;48.52441842
